is_edge,center_lat,center_lon,geom_score,label,ndvi_amp,pixel_size_m,radius_m,radius_px,ring_contrast,texture_score,tile_id,year,sample_weight
False,-34.03872919704195,25.56555000843597,0.1666666666666666,0,0.1563420444726944,27.34262983620405,2469.586318461642,90.31999969482422,0.0592771470546722,0.3037453889846802,cpis_landsat_2015_tile_000003,2015,1.0
False,-33.079867450436296,25.78675108566089,0.2708333333333333,1,0.4529193937778473,27.34262983620405,333.58010486246053,12.200000762939451,0.1208503246307373,0.1540094912052154,cpis_landsat_2015_tile_000004,2015,1.0
False,-34.17811178336702,20.340103886470843,0.2604166666666667,0,0.5367992520332336,27.34262983620405,2469.586318461642,90.31999969482422,0.0787521004676818,0.1572980880737304,cpis_landsat_2015_tile_000001,2015,1.0
False,-34.11699046407119,19.806181161565902,0.2708333333333333,0,0.565417468547821,27.34262983620405,2072.571425027352,75.80000305175781,0.0567822456359863,0.1794899702072143,cpis_landsat_2015_tile_000001,2015,1.0
False,-33.81429409329862,22.54597095238446,0.25,0,0.3763379156589508,27.34262983620405,1531.1873751312824,56.00000381469727,0.0928123593330383,0.1340979039669037,cpis_landsat_2015_tile_000002,2015,1.0
False,-33.99927521608126,22.311510663229267,0.2708333333333333,1,0.2087701559066772,27.34262983620405,1495.0951120918014,54.68000411987305,0.0179483592510223,0.1298580169677734,cpis_landsat_2015_tile_000002,2015,1.0
False,-34.4135422793469,21.217470418687952,0.28125,0,0.2345039993524551,27.34262983620405,2108.6636880668325,77.12000274658203,0.0433713197708129,0.4829597473144531,cpis_landsat_2015_tile_000001,2015,1.0
False,-33.845986682840184,25.585600379259688,0.2604166666666667,0,0.2564623653888702,27.34262983620405,1314.6336925905414,48.08000183105469,0.03842294216156,0.206279844045639,cpis_landsat_2015_tile_000003,2015,1.0
False,-34.0574860464922,24.515491267046237,0.2604166666666667,0,0.2752309143543243,27.34262983620405,1134.1722730892816,41.47999954223633,0.0153095126152038,0.1318786591291427,cpis_landsat_2015_tile_000003,2015,1.0
False,-33.64904002679091,21.490091118084443,0.25,0,0.2485412210226059,27.34262983620405,1386.8182186695033,50.720001220703125,0.018170341849327,0.1329391449689865,cpis_landsat_2015_tile_000002,2015,1.0
False,-34.12281157343012,19.316886782742497,0.28125,0,0.5446672439575195,27.34262983620405,2144.755951106313,78.44000244140625,0.0923819243907928,0.2217924892902374,cpis_landsat_2015_tile_000001,2015,1.0
False,-33.79327351565022,25.671946418051427,0.2604166666666667,0,0.2670532166957855,27.34262983620405,1206.3567991682437,44.119998931884766,0.0119895339012146,0.1840250492095947,cpis_landsat_2015_tile_000003,2015,1.0
False,-34.06848143872874,21.317399089846894,0.28125,0,0.2526814937591553,27.34262983620405,2469.586318461642,90.31999969482422,0.0363126099109649,0.1818766891956329,cpis_landsat_2015_tile_000001,2015,1.0
False,-33.85277793322921,23.854798315564175,0.25,0,0.1160932481288909,27.34262983620405,1242.4491665115795,45.44000244140625,0.0294336378574371,0.122696503996849,cpis_landsat_2015_tile_000003,2015,1.0
